Corruption Perceptions Index 2018: Score and rank changes 2017-2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country,ISO3,Region,CPI Score 2018,CPI Score 2017,Change in scores 2017-2018,CPI Rank 2018,CPI Rank 2017,Change in rank   2017-2018,Standard error 2018,Standard error 2017,,,,
Oman,OMN,MENA,52,44,8,53,68,15,9.46,7,,,,
Gambia,GMB,SSA,37,30,7,93,130,37,9.44,6.22,,,,
Seychelles,SYC,SSA,66,60,6,28,36,8,3.08,8.32,,,,
Solomon Islands,SLB,AP,44,39,5,70,85,15,7.38,3.71,,,,
Tajikistan,TJK,ECA,25,21,4,152,161,9,5.73,2.36,,,,
Eritrea,ERI,SSA,24,20,4,157,165,8,8.24,5.74,,,,
"Korea, South",KOR,AP,57,54,3,45,51,6,2.74,2.24,,,,
Vanuatu,VUT,AP,46,43,3,64,71,7,5.97,3.93,,,,
Morocco,MAR,MENA,43,40,3,73,81,8,3.68,2.6,,,,
Egypt,EGY,MENA,35,32,3,105,117,12,4.59,4.04,,,,
Central African Republic,CAF,SSA,26,23,3,149,156,7,1.14,3.28,,,,
Estonia,EST,WE/EU,73,71,2,18,21,3,1.44,2.21,,,,
France,FRA,WE/EU,72,70,2,21,23,2,1.17,1.36,,,,
Cyprus,CYP,WE/EU,59,57,2,38,42,4,3.54,3.78,,,,
Czech Republic,CZE,WE/EU,59,57,2,38,42,4,2.28,1.98,,,,
Georgia,GEO,ECA,58,56,2,41,46,5,3.92,3.1,,,,
Cabo Verde,CPV,SSA,57,55,2,45,48,3,4.22,4.19,,,,
Namibia,NAM,SSA,53,51,2,52,53,1,3.72,3.22,,,,
Italy,ITA,WE/EU,52,50,2,53,54,1,3.29,3.72,,,,
Suriname,SUR,AME,43,41,2,73,77,4,3.22,4.08,,,,
Kuwait,KWT,MENA,41,39,2,78,85,7,3.47,2.47,,,,
Macedonia,MKD,ECA,37,35,2,93,107,14,3.38,4.49,,,,
Philippines,PHL,AP,36,34,2,99,111,12,1.55,1.9,,,,
Algeria,DZA,MENA,35,33,2,105,112,7,1.21,2.32,,,,
El Salvador,SLV,AME,35,33,2,105,112,7,2.59,3.25,,,,
Ecuador,ECU,AME,34,32,2,114,117,3,3.46,2.66,,,,
Moldova,MDA,ECA,33,31,2,117,122,5,2.13,1.54,,,,
