Corruption Perceptions Index 2018: G20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Country,ISO3,CPI Score 2018,Rank 2018,Standard error 2018,Sources,Upper CI 2018,Lower CI 2018,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,Varieties of Democracy Project
Canada,CAN,81,9,2.16,8,85,77,,79,,90,,71,86,,85,,79,80,75
Germany,DEU,80,11,2.49,8,84,76,,79,,90,,83,84,,85,,66,78,77
United Kingdom,GBR,80,11,2.03,8,83,77,,79,,90,,71,82,,85,,78,81,75
Australia,AUS,77,13,1.27,9,79,75,,79,,72,,71,80,83,76,,80,78,75
Japan,JPN,73,18,2.85,9,78,68,,53,,72,,71,82,72,74,,81,78,71
France,FRA,72,21,1.17,8,74,70,,70,,72,,71,77,,67,,76,70,74
United States of America,USA,71,22,3.25,9,76,66,,70,,90,,71,71,53,76,,64,73,68
"Korea, South",KOR,57,45,2.74,10,61,53,,62,53,55,,59,50,42,50,,56,69,70
Italy,ITA,52,53,3.29,8,57,47,,62,,37,,59,42,,50,,47,57,62
Saudi Arabia,SAU,49,58,6.34,7,59,39,,,37,55,,22,57,,56,,75,,43
South Africa,ZAF,43,73,3.8,8,49,37,,,45,55,,47,28,,41,,27,45,56
India,IND,41,78,2.42,9,45,37,,,45,37,,47,37,36,41,,56,36,33
Turkey,TUR,41,78,3.03,9,46,36,,26,41,37,,47,48,,41,,55,41,29
Argentina,ARG,40,85,2.7,8,44,36,,,53,37,,35,40,,32,,33,48,46
China,CHN,39,87,2.02,8,42,36,,,37,37,,47,49,38,32,,,39,35
Indonesia,IDN,38,89,3.35,9,43,33,,,37,37,,47,38,33,50,,50,20,28
Brazil,BRA,35,105,4.05,8,42,28,,,57,37,,35,24,,32,,18,39,38
Mexico,MEX,28,138,1.83,9,31,25,,35,29,37,,22,23,,24,,25,27,33
Russia,RUS,28,138,2.51,9,32,24,,,33,20,24,22,34,,24,,42,33,21
