Corruption Perceptions Index 2018: OECD countries,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Country,ISO3,CPI Score 2018,Rank 2018,Standard error 2018,Sources,Upper CI 2018,Lower CI 2018,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,Varieties of Democracy Project
Denmark,DNK,88,1,2.63,8,92,84,,97,,90,,83,97,,92,,79,88,78
New Zealand,NZL,87,2,2.44,8,91,83,,97,,90,,83,92,,93,,83,82,77
Finland,FIN,85,3,2.74,8,89,81,,88,,72,,83,93,,93,,90,86,76
Sweden,SWE,85,3,2.02,8,88,82,,88,,90,,83,81,,93,,77,86,78
Switzerland,CHE,85,3,1.57,7,88,82,,88,,90,,83,88,,85,,87,,77
Norway,NOR,84,7,2.14,8,88,80,,79,,90,,83,85,,93,,75,86,78
Netherlands,NLD,82,8,2.3,8,86,78,,70,,90,,83,89,,85,,80,80,77
Canada,CAN,81,9,2.16,8,85,77,,79,,90,,71,86,,85,,79,80,75
Luxembourg,LUX,81,9,2.32,7,85,77,,79,,72,,83,86,,85,,88,,74
Germany,DEU,80,11,2.49,8,84,76,,79,,90,,83,84,,85,,66,78,77
United Kingdom,GBR,80,11,2.03,8,83,77,,79,,90,,71,82,,85,,78,81,75
Australia,AUS,77,13,1.27,9,79,75,,79,,72,,71,80,83,76,,80,78,75
Austria,AUT,76,14,1.37,8,78,74,,79,,72,,71,82,,76,,75,80,75
Iceland,ISL,76,14,4.33,7,83,69,,53,,72,,83,80,,85,,85,,77
Belgium,BEL,75,17,1.09,8,77,73,,79,,72,,71,77,,76,,71,74,77
Estonia,EST,73,18,1.44,10,75,71,,79,77,72,77,71,65,,67,,71,73,75
Ireland,IRL,73,18,3.25,7,78,68,,79,,55,,71,76,,76,,79,,76
Japan,JPN,73,18,2.85,9,78,68,,53,,72,,71,82,72,74,,81,78,71
France,FRA,72,21,1.17,8,74,70,,70,,72,,71,77,,67,,76,70,74
United States of America,USA,71,22,3.25,9,76,66,,70,,90,,71,71,53,76,,64,73,68
Chile,CHL,67,27,1.88,9,70,64,,62,77,72,,59,65,,67,,67,63,72
Portugal,PRT,64,30,2.14,8,68,60,,70,,55,,59,61,,67,,60,70,70
Israel,ISR,61,34,1.49,7,63,59,,62,,55,,59,62,,59,,64,,67
Poland,POL,60,36,1.69,10,63,57,,53,65,55,62,59,60,,59,,53,63,69
Slovenia,SVN,60,36,2.37,10,64,56,,62,69,55,71,71,51,,59,,52,56,59
Czech Republic,CZE,59,38,2.28,10,63,55,,62,65,55,62,71,53,,50,,47,61,60
Latvia,LVA,58,41,2.95,9,63,53,,70,57,55,68,59,45,,52,,49,,66
Spain,ESP,58,41,4.33,8,65,51,,70,,55,,47,43,,59,,46,67,75
"Korea, South",KOR,57,45,2.74,10,61,53,,62,53,55,,59,50,42,50,,56,69,70
Italy,ITA,52,53,3.29,8,57,47,,62,,37,,59,42,,50,,47,57,62
Slovakia,SVK,50,57,4.11,9,57,43,,53,57,55,59,59,24,,51,,37,,60
Hungary,HUN,46,64,2.79,10,51,41,,35,45,55,47,59,38,,50,,35,39,54
Greece,GRC,45,67,2.51,8,49,41,,53,,37,,47,38,,41,,41,50,56
Turkey,TUR,41,78,3.03,9,46,36,,26,41,37,,47,48,,41,,55,41,29
Mexico,MEX,28,138,1.83,9,31,25,,35,29,37,,22,23,,24,,25,27,33
