Country,ISO3,Region,CPI Score 2018,Rank ,Standard error,Number of sources,Upper CI,Lower CI ,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,Varieties of Democracy Project
Denmark,DNK,WE/EU,88,1,2.63,8,92,84,,97,,90,,83,97,,92,,79,88,78
New Zealand,NZL,AP,87,2,2.44,8,91,83,,97,,90,,83,92,,93,,83,82,77
Finland,FIN,WE/EU,85,3,2.74,8,89,81,,88,,72,,83,93,,93,,90,86,76
Singapore,SGP,AP,85,3,1.98,9,88,82,,,73,90,,83,90,89,85,,90,85,78
Sweden,SWE,WE/EU,85,3,2.02,8,88,82,,88,,90,,83,81,,93,,77,86,78
Switzerland,CHE,WE/EU,85,3,1.57,7,88,82,,88,,90,,83,88,,85,,87,,77
Norway,NOR,WE/EU,84,7,2.14,8,88,80,,79,,90,,83,85,,93,,75,86,78
Netherlands,NLD,WE/EU,82,8,2.3,8,86,78,,70,,90,,83,89,,85,,80,80,77
Canada,CAN,AME,81,9,2.16,8,85,77,,79,,90,,71,86,,85,,79,80,75
Luxembourg,LUX,WE/EU,81,9,2.32,7,85,77,,79,,72,,83,86,,85,,88,,74
Germany,DEU,WE/EU,80,11,2.49,8,84,76,,79,,90,,83,84,,85,,66,78,77
United Kingdom,GBR,WE/EU,80,11,2.03,8,83,77,,79,,90,,71,82,,85,,78,81,75
Australia,AUS,AP,77,13,1.27,9,79,75,,79,,72,,71,80,83,76,,80,78,75
Austria,AUT,WE/EU,76,14,1.37,8,78,74,,79,,72,,71,82,,76,,75,80,75
Hong Kong,HKG,AP,76,14,2.47,8,80,72,,,,72,,83,82,64,76,,84,72,71
Iceland,ISL,WE/EU,76,14,4.33,7,83,69,,53,,72,,83,80,,85,,85,,77
Belgium,BEL,WE/EU,75,17,1.09,8,77,73,,79,,72,,71,77,,76,,71,74,77
Estonia,EST,WE/EU,73,18,1.44,10,75,71,,79,77,72,77,71,65,,67,,71,73,75
Ireland,IRL,WE/EU,73,18,3.25,7,78,68,,79,,55,,71,76,,76,,79,,76
Japan,JPN,AP,73,18,2.85,9,78,68,,53,,72,,71,82,72,74,,81,78,71
France,FRA,WE/EU,72,21,1.17,8,74,70,,70,,72,,71,77,,67,,76,70,74
United States of America,USA,AME,71,22,3.25,9,76,66,,70,,90,,71,71,53,76,,64,73,68
United Arab Emirates,ARE,MENA,70,23,4.56,8,77,63,,,57,72,,47,82,,67,,87,72,73
Uruguay,URY,AME,70,23,2.73,7,74,66,,,77,72,,59,,,76,,60,70,73
Barbados,BRB,AME,68,25,3.12,3,73,63,,,,,,71,,,,,,62,71
Bhutan,BTN,AP,68,25,2.86,4,73,63,,,69,,,71,,,,60,,,73
Chile,CHL,AME,67,27,1.88,9,70,64,,62,77,72,,59,65,,67,,67,63,72
Seychelles,SYC,SSA,66,28,3.08,4,71,61,,,,72,,71,,,,,60,,62
Bahamas,BHS,AME,65,29,5.39,3,74,56,,,,,,59,,,76,,,61,
Portugal,PRT,WE/EU,64,30,2.14,8,68,60,,70,,55,,59,61,,67,,60,70,70
Brunei Darussalam,BRN,AP,63,31,6.62,3,74,52,,,,,,71,,,50,,68,,
Taiwan,TWN,AP,63,31,3.06,8,68,58,,,77,55,,71,66,51,59,,65,,58
Qatar,QAT,MENA,62,33,8.08,7,75,49,,,41,72,,47,84,,59,,92,,38
Botswana,BWA,SSA,61,34,2.76,7,66,56,,,61,72,,59,,,59,,52,55,69
Israel,ISR,MENA,61,34,1.49,7,63,59,,62,,55,,59,62,,59,,64,,67
Poland,POL,WE/EU,60,36,1.69,10,63,57,,53,65,55,62,59,60,,59,,53,63,69
Slovenia,SVN,WE/EU,60,36,2.37,10,64,56,,62,69,55,71,71,51,,59,,52,56,59
Cyprus,CYP,WE/EU,59,38,3.54,7,65,53,,44,,72,,59,50,,59,,60,,66
Czech Republic,CZE,WE/EU,59,38,2.28,10,63,55,,62,65,55,62,71,53,,50,,47,61,60
Lithuania,LTU,WE/EU,59,38,2.3,9,63,55,,62,69,55,62,59,50,,51,,54,,68
Georgia,GEO,ECA,58,41,3.92,6,64,52,,,53,,50,47,,,,,70,63,67
Latvia,LVA,WE/EU,58,41,2.95,9,63,53,,70,57,55,68,59,45,,52,,49,,66
Saint Vincent and the Grenadines,VCT,AME,58,41,3.39,3,64,52,,,,,,59,,,,52,,63,
Spain,ESP,WE/EU,58,41,4.33,8,65,51,,70,,55,,47,43,,59,,46,67,75
Cabo Verde,CPV,SSA,57,45,4.22,4,64,50,,,,,,59,,,,52,49,,68
Dominica,DMA,AME,57,45,2.55,3,61,53,,,,,,59,,,,52,,60,
"Korea, South",KOR,AP,57,45,2.74,10,61,53,,62,53,55,,59,50,42,50,,56,69,70
Costa Rica,CRI,AME,56,48,3.65,7,62,50,,,69,55,,47,,,49,,46,64,65
Rwanda,RWA,SSA,56,48,6.07,6,66,46,49,,45,,,59,,,,43,84,,55
Saint Lucia,LCA,AME,55,50,4.27,3,62,48,,,,,,47,,,,60,,59,
Malta,MLT,WE/EU,54,51,1.39,5,56,52,,53,,55,,59,,,53,,51,,
Namibia,NAM,SSA,53,52,3.72,6,59,47,,,41,55,,59,,,50,,47,,67
Grenada,GRD,AME,52,53,3,3,57,47,,,,,,47,,,,52,,57,
Italy,ITA,WE/EU,52,53,3.29,8,57,47,,62,,37,,59,42,,50,,47,57,62
Oman,OMN,MENA,52,53,9.46,6,68,36,,,21,37,,47,,,50,,87,,67
Mauritius,MUS,SSA,51,56,3.83,5,57,45,,,49,55,,59,,,,,55,,37
Slovakia,SVK,WE/EU,50,57,4.11,9,57,43,,53,57,55,59,59,24,,51,,37,,60
Jordan,JOR,MENA,49,58,3.21,8,54,44,,,41,55,,35,55,,50,,63,49,42
Saudi Arabia,SAU,MENA,49,58,6.34,7,59,39,,,37,55,,22,57,,56,,75,,43
Croatia,HRV,WE/EU,48,60,2.77,10,53,43,,53,57,55,53,47,34,,50,,30,52,49
Cuba,CUB,AME,47,61,2.56,5,51,43,,,41,55,,47,,,50,,,,42
Malaysia,MYS,AP,47,61,2.86,9,52,42,,,37,55,,47,47,41,41,,66,45,47
Romania,ROU,WE/EU,47,61,3.25,10,52,42,,53,65,37,59,47,31,,41,,48,51,39
Hungary,HUN,WE/EU,46,64,2.79,10,51,41,,35,45,55,47,59,38,,50,,35,39,54
