country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Aruba,ABW,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2224699087133,6.34473330180337,6.07657406873916,4.56581397586406,4.66203489665071,5.4781335315596,6.15541250037952,6.57387524830836,6.97733103331775,6.88570815917301,7.06260895270268,7.20410556478563,7.95092658162532,7.72939847245365,8.5598752606169,10.5061679874032,11.0046657882287,12.078273599401,12.6457190700395,11.8256614865434,11.9592076610674,12.1629553353575,12.2609960558992,13.0778061928869,13.2191007102569,,,,,
Albania,ALB,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.134897223537,3.33305613402906,4.35899104320049,4.98922169409841,5.18952247428039,6.39218748932318,6.6541784213064,7.06551676160164,7.08023525330021,6.02525375091466,6.65179844935911,7.20174625873496,7.06217072944298,7.70558840423873,7.57991149214117,8.15096377126918,9.280181016365,10.7026212418487,11.5770542634022,12.0368685089104,13.2043616232091,13.3440137259366,15.3020683755948,13.1918357235645,13.9268322746106,,,,,
Andorra,AND,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86792169593359,6.67751055381037,6.56886176452699,6.45859416981024,6.41883665290345,6.58959463412668,6.76485640127499,6.95174605420884,7.38305740680124,7.50121659696705,7.77206671234567,7.51455960228848,7.31949631463662,7.66385795828724,8.08634592756716,8.33951778073688,8.51564114172322,8.75441196294653,8.77528023656263,8.43410007845258,8.42382383015157,8.79819241490846,8.75146696552373,9.15003487530921,9.08184732950711,,,,,
United Arab Emirates,ARE,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52683985000175,5.91785808881854,6.5716027909027,6.47705926468661,6.38212039432496,6.54217099396781,6.67566407774379,6.9550293364457,6.89784262055684,7.05161935597299,8.17417433703316,6.64153708546657,6.96738570959839,7.8482059819072,8.27731150098245,8.41751336075932,9.17485984049579,8.95701946438727,7.96465607709527,7.52414983315607,7.51608155426652,7.86740669759857,7.88125571915537,8.23710157866546,8.69683636640821,,,,,
Argentina,ARG,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22604478433149,5.71977094065419,6.00435377918782,6.63173750000667,6.73883122807267,6.58943182731569,6.82892582010464,7.27712770360638,7.38963534619866,7.12058034634466,7.13770093578476,7.3299636496748,6.82648413629421,7.07269949799078,7.24898680206247,8.0878381572111,8.27554886592687,9.14483811349695,9.21229778482685,8.98142937086749,9.60507822612588,10.1521168961193,10.2045584943575,10.3535276617027,9.85669031011764,,,,,
Armenia,ARM,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11476258400182,0.965416583974039,1.13039000164483,1.98819643160595,3.40407147277234,3.11420438294281,3.10006278225317,3.11687208144605,3.32060379166789,3.59894375324216,3.54613871228757,3.98777363306485,4.90112179150569,5.39181899408456,5.78505501230214,5.66346751987582,6.48546419190026,6.79397915473735,7.03131948470339,7.00083536049074,7.60774176457989,7.43587664887042,7.42668049482655,7.9954250700879,8.27344410143013,,,,,
American Samoa,ASM,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
