country,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
Burundi,CTS/SDG,,,,,,,,, 	341 , 	376 , 	347 , 	349 , 	500 , 	520 , 	564 , 	461 , 	635 ,
Comoros,WHO Estimate, 	56 ,,,,, 	58 ,,,,, 	59 ,,,,, 	60 ,,
Djibouti,WHO Estimate, 	64 ,,,,, 	63 ,,,,, 	63 ,,,,, 	60 ,,
Eritrea,WHO Estimate, 	335 ,,,,, 	382 ,,,,, 	389 ,,,,, 	390 ,,
Ethiopia,WHO Estimate," 	7,113 ",,,,," 	7,214 ",,,,," 	7,419 ",,,,," 	7,552 ",,
Kenya,CTS,,,,," 	1,200 "," 	1,084 "," 	1,106 "," 	1,102 "," 	1,215 "," 	1,907 "," 	1,926 "," 	2,271 "," 	2,374 "," 	2,450 "," 	2,305 "," 	2,261 "," 	2,363 ",
Madagascar,WHO Estimate," 	1,793 ",,,,," 	1,842 ",,,,," 	1,941 ",,,,," 	1,863 ",,
Malawi,NP, 	700 , 	900 , 	567 , 	300 , 	411 , 	200 , 	821 , 	690 , 	780 , 	320 , 	520 , 	343 , 	279 ,,,,,
Mauritius,UNSDC/CTS/NSO, 	26 ,,, 	39 , 	35 , 	37 , 	50 , 	45 , 	48 , 	38 , 	33 , 	34 , 	29 , 	35 , 	19 , 	21 , 	23 ,
Mayotte,NP,,,,,,,, 	27 , 	5 , 	12 ,,,,,,,,
Mozambique,WHO/SDG,," 	1,100 "," 	1,040 "," 	1,044 "," 	1,130 "," 	1,089 ", 	894 , 	849 , 	995 , 	823 , 	875 , 	849 ,,,,,,
Réunion,NP,,,,, 	23 , 	25 , 	19 , 	24 , 	18 , 	15 ,,,,,,,,
Rwanda,NSO,,,,,,, 	319 , 	268 , 	144 ,, 	291 ,, 	256 , 	359 , 	428 , 	293 ,,
Seychelles,INTP/NSO,,,,, 	10 ,, 	9 , 	8 , 	6 , 	14 , 	9 , 	16 , 	4 , 	18 , 	16 , 	7 , 	12 ,
Somalia,WHO Estimate, 	490 ,,,,, 	517 ,,,,, 	636 ,,,,, 	599 ,,
South Sudan,NP,,,,,,,,,,,,," 	1,504 ",,,,,
Uganda,CTS/NP,,,," 	2,136 "," 	2,049 "," 	2,492 "," 	2,696 "," 	2,645 "," 	2,793 "," 	3,233 "," 	3,160 "," 	3,753 "," 	4,066 "," 	3,857 "," 	4,473 ",,,
United Republic of Tanzania,INTP/CTS,,,," 	2,778 "," 	2,926 ",,,,,," 	3,888 "," 	4,149 "," 	4,092 "," 	3,697 "," 	3,902 "," 	3,746 ",,
Zambia,UNSDC/WHO/NP, 	797 ,,,,,,,, 	694 , 	812 , 	814 , 	863 , 	885 , 	867 , 	825 , 	853 ,,
Zimbabwe,WHO,," 	1,529 "," 	1,623 "," 	1,360 "," 	1,356 "," 	1,350 "," 	1,072 ",,,, 	711 ,, 	981 ,,,,,
Angola,NSO,,,,,,,,,,,," 	1,055 "," 	1,217 ",,,,,
Cameroon,NSO/SDG, 	459 , 	755 ," 	1,031 "," 	1,002 ",,,,, 	776 ," 	1,277 ", 	999 , 	835 , 	880 ,,,,,
Central African Republic,CTS,,,,,,,,,,,,,,,,, 	913 ,
Chad,WHO Estimate, 	949 ,,,,," 	1,079 ",,,,," 	1,151 ",,,,," 	1,266 ",,
Congo,WHO Estimate, 	366 ,,,,, 	396 ,,,,, 	433 ,,,,, 	466 ,,
Democratic Republic of the Congo,WHO Estimate," 	6,617 ",,,,," 	8,021 ",,,,," 	9,213 ",,,,," 	10,322 ",,
Equatorial Guinea,WHO Estimate, 	20 ,,,,, 	22 ,,,,, 	25 ,,,,, 	27 ,,
Gabon,WHO Estimate, 	134 ,,,,, 	154 ,,,,, 	143 ,,,,, 	155 ,,
Sao Tome and Principe,CTS,,,,,,, 	4 , 	4 , 	14 , 	5 , 	6 , 	6 ,,,,,,
Algeria,CTS,,,, 	650 , 	449 , 	204 , 	312 , 	271 , 	328 , 	277 , 	254 , 	280 , 	523 , 	480 , 	577 , 	542 ,,
Egypt,CTS,,,, 	471 , 	322 , 	522 , 	549 , 	680 , 	967 , 	912 ," 	1,839 "," 	2,703 "," 	2,207 ",,,,,
Libya,WHO Estimate, 	198 ,,,,, 	212 ,,,,, 	192 ,,,,, 	156 ,,
Morocco,UNSDC/CTS, 	461 , 	543 , 	462 , 	510 , 	470 , 	469 , 	498 , 	517 , 	426 , 	432 , 	451 , 	441 , 	383 , 	429 , 	355 , 	431 ,,
Sudan,CTS,,,,,,,," 	1,511 "," 	1,702 ",,,,,,,,,
