,Unnamed: 0,country,gdp_usd,population,CPI,rank,GI_risk,co2_mmt,gdp_capita,regulatory_quality,political_stability,accountability,rule_of_law,co2_mmt_capita,co2_kg_capita,GDP_Ag_and_Forest,petro_income,resource_income,co2_dollar,co2_kg_dollar,KOFGI
0,0,Afghanistan,59638900000.0,34600200.0,16,172,10,8.54149,1723.66,-1.32769,-2.67105,-1.03984,-1.49819,2.468624458818157e-07,0.00024686244588181566,21.0811,0.0008241219999999999,0.6258600000000001,1.432201130470213e-10,0.1432201130470213,38.658775329589794
1,1,Albania,30875800000.0,2927090.0,36,99,35,4.22116,10548.3,0.189022,0.344645,0.169949,-0.328867,1.4421011994848126e-06,0.0014421011994848127,19.85,0.8534209999999999,1.0495,1.3671419040154427e-10,0.13671419040154428,67.1855545043945
2,2,Algeria,553624000000.0,40563900.0,35,105,35,138.72299999999998,13648.2,-1.17188,-1.09753,-0.8631690000000001,-0.857401,3.4198634746658983e-06,0.0034198634746658977,12.2128,10.0461,12.3034,2.5057259078363654e-10,0.2505725907836365,53.1823387145996
3,3,Angola,176813000000.0,28852900.0,19,165,22,21.417,6128.08,-1.00138,-0.315899,-1.14293,-1.08732,7.422824048882435e-07,0.0007422824048882434,9.83117,10.1687,10.7462,1.2112797135957195e-10,0.12112797135957196,41.751495361328104
4,4,Argentina,799476000000.0,43897900.0,40,85,35,194.1,18212.2,-0.469625,0.204626,0.492563,-0.393606,4.421623813439823e-06,0.004421623813439823,6.26457,0.552452,1.13494,2.4278402353541567e-10,0.2427840235354157,63.024387359619105
5,5,Armenia,23446700000.0,2921300.0,35,105,35,5.2198,8026.12,0.250056,-0.6622640000000001,-0.579335,-0.11913,1.7868072433505631e-06,0.0017868072433505629,16.3905,0.0,4.4120800000000004,2.2262407929474083e-10,0.22262407929474085,67.08510589599611
6,6,Australia,1088900000000.0,24246000.0,77,13,71,411.729,44910.7,1.89697,1.04796,1.35101,1.75552,1.698131650581539e-05,0.01698131650581539,2.3873,0.172404,6.09512,3.781146110753972e-10,0.3781146110753972,79.28904724121091
7,7,Austria,383118000000.0,8745720.0,76,14,71,68.1012,43806.3,1.44044,0.909639,1.33742,1.81497,7.78680314485257e-06,0.0077868031448525684,1.1127200000000002,0.0234024,0.112891,1.7775515637479842e-10,0.17775515637479838,87.9089584350586
8,8,Azerbaijan,155209000000.0,9713940.0,25,152,35,35.1174,15978.0,-0.282023,-0.803879,-1.5631,-0.519861,3.615155127579541e-06,0.003615155127579541,5.60511,13.1744,15.4402,2.2625878653944042e-10,0.2262587865394404,59.2881927490234
9,9,Bahrain,61076200000.0,1348410.0,36,99,35,38.1075,45295.0,0.6082390000000001,-0.7934260000000001,-1.3721299999999998,0.456381,2.8261063029790638e-05,0.028261063029790645,0.332012,1.8112400000000002,3.22726,6.239337090388727e-10,0.6239337090388728,65.9497146606445
10,10,Bangladesh,569985000000.0,162916000.0,26,149,22,79.2048,3498.64,-0.79668,-1.26194,-0.585298,-0.663492,4.861695597731346e-07,0.0004861695597731347,14.0455,0.013982399999999999,0.6441560000000001,1.389594463012185e-10,0.13895944630121848,45.544895172119105
11,11,Barbados,4731870000.0,284887.0,68,25,71,1.75655,16609.6,0.481065,0.97661,1.08573,0.7951229999999999,6.1657780102286175e-06,0.006165778010228618,1.37998,0.0510713,0.0667225,3.712168762032769e-10,0.37121687620327704,59.94364929199221
12,12,Belarus,155762000000.0,9471700.0,44,70,47,55.44300000000001,16445.0,-0.941261,0.142281,-1.33949,-0.716039,5.853542658656841e-06,0.005853542658656841,6.8952800000000005,0.384228,1.29721,3.55946893337271e-10,0.355946893337271,65.00070953369139
13,13,Belgium,464710000000.0,11336500.0,75,17,71,137.639,40992.4,1.34068,0.441367,1.37696,1.39096,1.214122524588718e-05,0.012141225245887179,0.634991,0.0,0.018805900000000004,2.961825654709389e-10,0.2961825654709389,90.4742889404297
14,14,Benin,21403300000.0,10885400.0,40,85,35,5.43566,1966.24,-0.527894,-0.00202717,0.413315,-0.608593,4.993532621676742e-07,0.0004993532621676742,23.2404,0.0739684,6.00174,2.5396364112076175e-10,0.2539636411207617,48.9865608215332
15,15,Bhutan,5877710000.0,796958.0,68,25,71,0.5804600000000001,7375.18,-0.665137,1.1233,-0.0259746,0.493501,7.283445300756127e-07,0.0007283445300756124,16.6445,0.0,4.35821,9.87561482277962e-11,0.0987561482277962,40.8336753845215
16,16,Bolivia,71531400000.0,10888600.0,29,132,35,17.9948,6569.38,-0.924095,-0.248866,-0.0369255,-1.20056,1.6526275186892715e-06,0.0016526275186892715,11.1719,0.925751,5.241709999999999,2.515650469583987e-10,0.2515650469583987,59.91886901855471
17,17,Bosnia and Herzegovina,39560500000.0,3528410.0,38,89,35,18.5662,11212.0,-0.166648,-0.397839,-0.132196,-0.21673,5.26191684072996e-06,0.00526191684072996,6.3693800000000005,0.0,1.17979,4.693115607740043e-10,0.4693115607740043,69.4781646728516
18,18,Botswana,33933800000.0,2250510.0,61,34,59,5.78343,15078.3,0.528487,0.99456,0.394302,0.533726,2.569830838343309e-06,0.0025698308383433088,2.04973,0.0,1.14278,1.7043272489376376e-10,0.17043272489376374,56.5203132629395
