country,Year,Area,Sex,Religion,Record Type,Reliability,Source Year,Value,Value Footnotes
Albania,2011,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,2800138,
Albania,2011,Total,Both Sexes,Atheist,Census - de jure - complete tabulation,"Final figure, complete",2013,69995,
Albania,2011,Total,Both Sexes,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2013,280921,
Albania,2011,Total,Both Sexes,Evangelical,Census - de jure - complete tabulation,"Final figure, complete",2013,3797,
Albania,2011,Total,Both Sexes,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2013,1587608,
Albania,2011,Total,Both Sexes,Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2013,188992,
Albania,2011,Total,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2013,602,
Albania,2011,Total,Both Sexes,Other Christians,Census - de jure - complete tabulation,"Final figure, complete",2013,1919,
Albania,2011,Total,Both Sexes,Refused to answer,Census - de jure - complete tabulation,"Final figure, complete",2013,386024,
Albania,2011,Total,Both Sexes,Bektashism,Census - de jure - complete tabulation,"Final figure, complete",2013,58628,
Albania,2011,Total,Both Sexes,Believers without denomination,Census - de jure - complete tabulation,"Final figure, complete",2013,153630,
Albania,2011,Total,Both Sexes,Not Stated,Census - de jure - complete tabulation,"Final figure, complete",2013,68022,
Armenia,2011,Total,Both Sexes,Armenian Apostolic,Census - de jure - complete tabulation,"Final figure, complete",2013,2796519,
Armenia,2011,Total,Both Sexes,Armenian Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2013,7532,
Armenia,2011,Total,Both Sexes,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2013,13843,
Armenia,2011,Total,Both Sexes,Evangelical,Census - de jure - complete tabulation,"Final figure, complete",2013,29280,
Armenia,2011,Total,Both Sexes,Pagan,Census - de jure - complete tabulation,"Final figure, complete",2013,5434,
Armenia,2011,Total,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2013,7888,
Armenia,2011,Total,Both Sexes,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2013,34373,
Armenia,2011,Total,Both Sexes,Not Stated,Census - de jure - complete tabulation,"Final figure, complete",2013,87214,
Armenia,2011,Total,Both Sexes,Yeshiva's witness,Census - de jure - complete tabulation,"Final figure, complete",2013,8695,
Armenia,2011,Total,Both Sexes,Molokai,Census - de jure - complete tabulation,"Final figure, complete",2013,2872,
Armenia,2011,Total,Both Sexes,Shar-fadinian,Census - de jure - complete tabulation,"Final figure, complete",2013,25204,
Aruba,2010,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2012,101484,1
Aruba,2010,Total,Both Sexes,Adventist,Census - de jure - complete tabulation,"Final figure, complete",2012,880,1
Aruba,2010,Total,Both Sexes,Anglican,Census - de jure - complete tabulation,"Final figure, complete",2012,450,1
Aruba,2010,Total,Both Sexes,Jehovah Witness,Census - de jure - complete tabulation,"Final figure, complete",2012,1703,1
Aruba,2010,Total,Both Sexes,Jewish,Census - de jure - complete tabulation,"Final figure, complete",2012,354,1
Aruba,2010,Total,Both Sexes,Methodist,Census - de jure - complete tabulation,"Final figure, complete",2012,932,1
Aruba,2010,Total,Both Sexes,Pagan,Census - de jure - complete tabulation,"Final figure, complete",2012,5625,1
Aruba,2010,Total,Both Sexes,Protestant,Census - de jure - complete tabulation,"Final figure, complete",2012,2698,1
Aruba,2010,Total,Both Sexes,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2012,76464,1
Aruba,2010,Total,Both Sexes,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2012,5625,1
Aruba,2010,Total,Both Sexes,Not Stated,Census - de jure - complete tabulation,"Final figure, complete",2012,515,1
Aruba,2010,Total,Both Sexes,Other Religions and Persuasions,Census - de jure - complete tabulation,"Final figure, complete",2012,11862,1
Australia,2016,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2017,23401892,2
Australia,2016,Total,Both Sexes,Anglican,Census - de jure - complete tabulation,"Final figure, complete",2017,3101185,2
Australia,2016,Total,Both Sexes,Baha'i,Census - de jure - complete tabulation,"Final figure, complete",2017,13989,2
Australia,2016,Total,Both Sexes,Baptist,Census - de jure - complete tabulation,"Final figure, complete",2017,345142,2
Australia,2016,Total,Both Sexes,Brethren,Census - de jure - complete tabulation,"Final figure, complete",2017,17423,2
Australia,2016,Total,Both Sexes,Buddhist,Census - de jure - complete tabulation,"Final figure, complete",2017,563674,2
Australia,2016,Total,Both Sexes,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2017,5291834,2
Australia,2016,Total,Both Sexes,Church of Christ,Census - de jure - complete tabulation,"Final figure, complete",2017,39621,2
Australia,2016,Total,Both Sexes,Druze,Census - de jure - complete tabulation,"Final figure, complete",2017,3096,2
Australia,2016,Total,Both Sexes,Eastern Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2017,502801,2
Australia,2016,Total,Both Sexes,Hindu,Census - de jure - complete tabulation,"Final figure, complete",2017,440300,2
Australia,2016,Total,Both Sexes,Islam ,Census - de jure - complete tabulation,"Final figure, complete",2017,604240,2
Australia,2016,Total,Both Sexes,Judaism,Census - de jure - complete tabulation,"Final figure, complete",2017,91022,2
Australia,2016,Total,Both Sexes,Latter Day Saints,Census - de jure - complete tabulation,"Final figure, complete",2017,61639,2
Australia,2016,Total,Both Sexes,Lutheran,Census - de jure - complete tabulation,"Final figure, complete",2017,174019,2
Australia,2016,Total,Both Sexes,Pentecostal,Census - de jure - complete tabulation,"Final figure, complete",2017,260558,2
Australia,2016,Total,Both Sexes,Salvation Army,Census - de jure - complete tabulation,"Final figure, complete",2017,48939,2
Australia,2016,Total,Both Sexes,Seventh Day Adventist,Census - de jure - complete tabulation,"Final figure, complete",2017,62945,2
Australia,2016,Total,Both Sexes,Sikh,Census - de jure - complete tabulation,"Final figure, complete",2017,125901,2
Australia,2016,Total,Both Sexes,Spiritualist,Census - de jure - complete tabulation,"Final figure, complete",2017,10101,2
Australia,2016,Total,Both Sexes,United Church,Census - de jure - complete tabulation,"Final figure, complete",2017,870183,2
Australia,2016,Total,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2017,25065,2
Australia,2016,Total,Both Sexes,Other Christians,Census - de jure - complete tabulation,"Final figure, complete",2017,30549,2
Australia,2016,Total,Both Sexes,Other Protestant,Census - de jure - complete tabulation,"Final figure, complete",2017,108307,2
Australia,2016,Total,Both Sexes,Other Religions,Census - de jure - complete tabulation,"Final figure, complete",2017,39180,2
Australia,2016,Total,Both Sexes,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2017,6933708,2
Australia,2016,Total,Both Sexes,Jehovah's Witnesses,Census - de jure - complete tabulation,"Final figure, complete",2017,82510,2
