country,Year,Area,Sex,Record Type,Reliability,Source Year,Value,Value Footnotes
Afghanistan,2018,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,7507953,1
Afghanistan,2017,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2018,7148224,1
Afghanistan,2016,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2017,6919560,1
Afghanistan,2015,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2017,6698033,1
Afghanistan,2014,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2015,6483434,1
Afghanistan,2013,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2015,6275600,1
Afghanistan,2012,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2013,6074200,1
Afghanistan,2011,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2013,5879200,1
Afghanistan,2010,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,5690300,1
Afghanistan,2009,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,5507300,1
Afghanistan,2008,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2013,5330200,1
Åland Islands,2018,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,11709,2
Åland Islands,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2018,11621,2
Åland Islands,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,11513,2
Åland Islands,2015,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2016,11471,2
Åland Islands,2014,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2015,11437,2
Åland Islands,2013,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2014,11370,2
Åland Islands,2012,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2013,11304.5,2
Åland Islands,2011,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2012,11226.5,2
Åland Islands,2010,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2011,11156.5,2
Åland Islands,2009,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2009,11064,2
Åland Islands,2008,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2009,10953.5,2
Albania,2011,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2013,1498508,
Albania,2011,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2014,1564139,
Albania,2010,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2014,1541310,
Albania,2009,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2014,1518397,
Albania,2008,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2014,1495552,
Algeria,2008,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2014,22413189,3
Algeria,2008,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2015,22808000,
Angola,2018,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2018,18473609,4
Angola,2017,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2018,17881283,4
Angola,2016,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2018,17310474,4
Angola,2015,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2018,16761094,4
Angola,2014,Urban,Both Sexes,Census - de facto - complete tabulation,"Final figure, complete",2016,16153987,
Angola,2014,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2018,16235542,4
Argentina,2018,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2018,40866408,5
